#POSX POSY POSZ VELX VELY VELZ ID MASS U RHO HSML 
-0.0753148 -0.00988251 -0.0168138 0.0148932 0.039446 -0.0276157 649 0.000679348 0.831932 16.7952 0.0787918 
-0.0780476 -0.0529348 -0.0182672 -0.0270817 0.0142816 0.00975272 635 0.000679348 0.867877 12.5712 0.0864184 
-0.0949687 -0.0395055 -0.0379817 0.0205267 -0.0207957 -0.00659774 483 0.000679348 0.909448 10.3533 0.091802 
-0.125071 -0.0173666 -0.0158482 0.0206509 0.00744992 0.0152279 648 0.000679348 0.854843 8.34353 0.0991339 
-0.125455 0.000255432 -0.072509 0.0089429 0.0604167 0.0135993 496 0.000679348 0.88755 6.77496 0.10572 
-0.142762 -0.0352339 -0.142421 -0.117698 0.0239565 0.160681 352 0.000679348 0.768741 3.70339 0.129127 
-0.142421 -0.0352339 -0.142762 0.160681 0.0239565 -0.117698 224 0.000679348 0.768741 3.70339 0.129127 
-0.072509 0.000255432 -0.125455 0.0135993 0.0604167 0.0089429 225 0.000679348 0.88755 6.77496 0.10572 
-0.0965967 -0.050039 -0.0965967 -0.0237766 -0.023005 -0.0237766 353 0.000679348 0.851847 6.85879 0.105888 
-0.0971859 -0.0505702 -0.0971859 0.023361 0.0224603 0.023361 340 0.000679348 0.941592 6.76052 0.10653 
-0.108705 -0.108408 -0.108705 -0.000133091 0.000759275 -0.000133091 328 0.000679348 0.853424 4.31449 0.122782 
-0.142842 -0.142104 -0.0363949 -0.118394 0.163121 0.0136187 620 0.000679348 0.763752 3.66826 0.129519 
-0.142504 -0.142441 -0.0364064 0.16182 -0.115249 0.0187581 608 0.000679348 0.764114 3.66816 0.129521 
-0.12534 -0.074877 0.000247247 0.00514515 0.00221941 0.0605279 634 0.000679348 0.883001 6.72268 0.106002 
-0.0958476 -0.0958355 -0.0515374 0.00441211 0.00296972 -0.00412759 470 0.000679348 0.948646 6.81278 0.106371 
-0.095048 -0.0950679 -0.050842 0.0123543 0.00967608 0.00131188 621 0.000679348 0.86133 6.94155 0.105536 
-0.0741562 -0.124751 0.000258587 0.00502416 0.00883814 0.0607243 609 0.000679348 0.882714 6.71904 0.105998 
-0.0535016 -0.077176 -0.0192561 0.0087773 -0.0194771 0.00349825 622 0.000679348 0.865847 12.5234 0.0865164 
-0.038315 -0.0950625 -0.038315 -0.0128187 0.0215446 -0.0128187 471 0.000679348 0.905497 10.2764 0.0920459 
-0.0192561 -0.077176 -0.0535016 0.00349825 -0.0194771 0.0087773 472 0.000679348 0.865847 12.5234 0.0865164 
-0.0135992 -0.0724388 -0.0135992 -0.000264551 0.0328807 -0.000264551 623 0.000679348 0.836071 16.9281 0.0785787 
-0.0165017 -0.123181 -0.0165017 0.0125064 0.0343862 0.0125064 610 0.000679348 0.861179 8.43607 0.0987926 
0.000258587 -0.124751 -0.0741562 0.0607243 0.00883814 0.00502416 460 0.000679348 0.882714 6.71904 0.105998 
-0.0515374 -0.0958355 -0.0958476 -0.00412759 0.00296972 0.00441211 329 0.000679348 0.948646 6.81278 0.106371 
-0.050842 -0.0950679 -0.095048 0.00131188 0.00967608 0.0123543 330 0.000679348 0.86133 6.94155 0.105536 
-0.0364064 -0.142441 -0.142504 0.0187581 -0.115249 0.16182 318 0.000679348 0.764114 3.66816 0.129521 
-0.0363949 -0.142104 -0.142842 0.0136187 0.163121 -0.118394 202 0.000679348 0.763752 3.66826 0.129519 
0.000247247 -0.074877 -0.12534 0.0605279 0.00221941 0.00514515 214 0.000679348 0.883001 6.72268 0.106002 
-0.00156579 -0.1983 -0.0899173 -0.00904191 0.0121588 0.0106933 449 0.000679348 0.78494 3.30639 0.13536 
-0.0191191 -0.190883 -0.0191191 0.012925 0.000514811 0.012925 599 0.000679348 0.822606 4.23973 0.124675 
-0.0543995 -0.157035 -0.0543995 0.044489 0.0010249 0.044489 459 0.000679348 0.845511 4.9447 0.118085 
