#POSX POSY POSZ VELX VELY VELZ ID MASS U RHO HSML 
-0.630898 -0.399513 -0.27631 0.433839 0.275561 0.21709 313 0.000679348 0.0532715 0.0946922 0.44157 
-0.492887 -0.492887 -0.268034 0.397104 0.397104 0.234619 303 0.000679348 0.0603552 0.128757 0.400458 
-0.444427 -0.444427 -0.141403 0.507876 0.507876 0.159426 445 0.000679348 0.0784004 0.213057 0.337845 
-0.42314 -0.42314 -0.0445969 0.558134 0.558134 0.0547785 595 0.000679348 0.089245 0.263116 0.314589 
-0.399513 -0.630898 -0.27631 0.275561 0.433839 0.21709 295 0.000679348 0.0532715 0.0946922 0.44157 
-0.292733 -0.73661 -0.0610235 0.179061 0.522025 0.0360905 581 0.000679348 0.055637 0.104433 0.428131 
-0.366311 -0.575176 -0.148943 0.345768 0.544514 0.15468 437 0.000679348 0.0686004 0.167283 0.365393 
-0.349874 -0.543278 -0.0479506 0.394588 0.601435 0.0532434 587 0.000679348 0.0789572 0.214147 0.336831 
-0.212789 -0.475653 -0.126806 0.336382 0.735704 0.211796 438 0.000679348 0.09521 0.331155 0.290407 
-0.20243 -0.446153 -0.0400835 0.347663 0.769964 0.0753195 588 0.000679348 0.11307 0.42272 0.268346 
-0.297407 -0.381961 -0.210335 0.479112 0.615277 0.354913 304 0.000679348 0.0976633 0.327765 0.291909 
-0.362417 -0.459771 -0.362417 0.365239 0.470738 0.365239 179 0.000679348 0.0669297 0.168512 0.36482 
-0.236049 -0.535677 -0.236049 0.300187 0.649048 0.300187 296 0.000679348 0.0727903 0.211952 0.338432 
-0.210335 -0.381961 -0.297407 0.354913 0.615277 0.479112 180 0.000679348 0.0976633 0.327765 0.291909 
-0.126806 -0.475653 -0.212789 0.211796 0.735704 0.336382 297 0.000679348 0.09521 0.331155 0.290407 
-0.0479506 -0.543278 -0.349874 0.0532434 0.601435 0.394588 175 0.000679348 0.0789572 0.214147 0.336831 
-0.0400835 -0.446153 -0.20243 0.0753195 0.769964 0.347663 298 0.000679348 0.11307 0.42272 0.268346 
-0.0363679 -0.394263 -0.109344 0.074475 0.885489 0.220545 440 0.000679348 0.162653 0.690002 0.227878 
-0.109344 -0.394263 -0.0363679 0.220545 0.885489 0.074475 589 0.000679348 0.162653 0.690002 0.227878 
-0.114751 -0.421816 -0.114751 0.222805 0.820714 0.222805 439 0.000679348 0.135725 0.543957 0.246508 
-0.0494141 -0.61243 -0.0494141 0.0451133 0.843168 0.0451133 583 0.000679348 0.0795465 0.268029 0.311934 
-0.169839 -0.702458 -0.169839 0.12423 0.594855 0.12423 433 0.000679348 0.0652172 0.143937 0.38435 
-0.158231 -0.657402 -0.0572769 0.138873 0.709606 0.0411589 582 0.000679348 0.0721786 0.210481 0.33937 
-0.0572769 -0.657402 -0.158231 0.0411589 0.709606 0.138873 434 0.000679348 0.0721786 0.210481 0.33937 
